914	 886	 TRU
886	 888	 TRU
887	 888	 TRU
914	 889	 TRU
889	 890	 TRU
890	 891	 TRU
891	 892	 TRU
916	 892	 TRU
914	 893	 TRU
893	 894	 TRU
894	 895	 TRU
895	 896	 TRU
918	 896	 TRU
914	 897	 TRU
897	 898	 TRU
898	 899	 TRU
899	 900	 TRU
920	 900	 TRU
914	 901	 TRU
901	 902	 TRU
902	 903	 TRU
903	 904	 TRU
922	 904	 TRU
914	 905	 TRU
905	 906	 TRU
906	 907	 TRU
907	 908	 TRU
924	 908	 TRU
925	 909	 PRE
927	 909	 TRU
908	 909	 TRU
931	 910	 PRE
933	 910	 TRU
909	 910	 TRU
914	 911	 TRU
911	 912	 TRU
935	 912	 TRU
912	 913	 TRU
914	 913	 TRU
